lat_lon,Decade,Deaths,Latitude,Longitude,Units
40.70983075-74.01257208,1910s,1,40.70983075,-74.01257208,"ENGINE 10, LADDER 10"
40.70995117-74.00540491,1860s,1,40.70995117,-74.00540491,ENGINE 6
40.70995117-74.00540491,1870s,1,40.70995117,-74.00540491,ENGINE 6
40.70995117-74.00540491,1880s,1,40.70995117,-74.00540491,ENGINE 6
40.70995117-74.00540491,1910s,1,40.70995117,-74.00540491,ENGINE 6
40.70995117-74.00540491,1940s,1,40.70995117,-74.00540491,ENGINE 6
40.71263589-73.87491109,1950s,1,40.71263589,-73.87491109,ENGINE 319
40.71315684-73.90664201,1920s,1,40.71315684,-73.90664201,ENGINE 291
40.71316127-73.96110909,1900s,2,40.71316127,-73.96110909,"ENGINE 221, LADDER 104"
40.71316127-73.96110909,1910s,1,40.71316127,-73.96110909,"ENGINE 221, LADDER 104"
40.71316127-73.96110909,1990s,1,40.71316127,-73.96110909,"ENGINE 221, LADDER 104"
40.71316127-73.96110909,2000s,1,40.71316127,-73.96110909,"ENGINE 221, LADDER 104"
40.71449526-73.76304055,1930s,1,40.71449526,-73.76304055,ENGINE 301
40.71531991-73.92820852,1920s,1,40.71531991,-73.92820852,ENGINE 206
