lat_lon,Decade,Deaths,Latitude,Longitude,Units
40.85615175-73.90440902,1920s,1,40.85615175,-73.90440902,"BATTALION 19, ENGINE 75, LADDER 33"
40.85615175-73.90440902,1940s,1,40.85615175,-73.90440902,"BATTALION 19, ENGINE 75, LADDER 33"
40.85615175-73.90440902,1950s,1,40.85615175,-73.90440902,"BATTALION 19, ENGINE 75, LADDER 33"
40.85615175-73.90440902,1970s,1,40.85615175,-73.90440902,"BATTALION 19, ENGINE 75, LADDER 33"
40.85615175-73.90440902,2000s,1,40.85615175,-73.90440902,"BATTALION 19, ENGINE 75, LADDER 33"
40.85928063-73.89401881,1930s,3,40.85928063,-73.89401881,ENGINE 48
40.85928063-73.89401881,1950s,3,40.85928063,-73.89401881,ENGINE 48
40.85928063-73.89401881,1960s,1,40.85928063,-73.89401881,ENGINE 48
40.85934734-73.84416545,1960s,1,40.85934734,-73.84416545,ENGINE 97
40.864856-73.92513335,1930s,1,40.864856,-73.92513335,LADDER 36
40.864856-73.92513335,1940s,1,40.864856,-73.92513335,LADDER 36
40.864856-73.92513335,1960s,1,40.864856,-73.92513335,LADDER 36
40.864856-73.92513335,2000s,1,40.864856,-73.92513335,LADDER 36
40.86972626-73.8311068,1940s,1,40.86972626,-73.8311068,"ENGINE 66, LADDER 61"
40.86972626-73.8311068,1960s,1,40.86972626,-73.8311068,"ENGINE 66, LADDER 61"
40.86972626-73.8311068,2000s,1,40.86972626,-73.8311068,"ENGINE 66, LADDER 61"
40.87027998-73.88662647,1910s,1,40.87027998,-73.88662647,"ENGINE 79, LADDER 37"
40.87027998-73.88662647,1920s,1,40.87027998,-73.88662647,"ENGINE 79, LADDER 37"
40.87027998-73.88662647,1940s,1,40.87027998,-73.88662647,"ENGINE 79, LADDER 37"
40.8762515-73.86738351,1900s,1,40.8762515,-73.86738351,"ENGINE 62, LADDER 32"
40.8762515-73.86738351,1910s,2,40.8762515,-73.86738351,"ENGINE 62, LADDER 32"
40.8762515-73.86738351,1920s,1,40.8762515,-73.86738351,"ENGINE 62, LADDER 32"
40.8762515-73.86738351,1930s,3,40.8762515,-73.86738351,"ENGINE 62, LADDER 32"
40.8762515-73.86738351,1940s,1,40.8762515,-73.86738351,"ENGINE 62, LADDER 32"
40.8762515-73.86738351,1950s,1,40.8762515,-73.86738351,"ENGINE 62, LADDER 32"
40.87695806-73.90371696,1940s,1,40.87695806,-73.90371696,ENGINE 81
40.87800533-73.84649091,1860s,1,40.87800533,-73.84649091,ENGINE 38
40.87800533-73.84649091,1900s,1,40.87800533,-73.84649091,ENGINE 38
40.87800533-73.84649091,1950s,1,40.87800533,-73.84649091,ENGINE 38
40.89215029-73.90761131,1950s,1,40.89215029,-73.90761131,LADDER 52
40.89304192-73.85532864,1950s,1,40.89304192,-73.85532864,"ENGINE 63, LADDER 39"
40.89304192-73.85532864,1960s,1,40.89304192,-73.85532864,"ENGINE 63, LADDER 39"
